feature,importance_pct
is_delivery,27.752703
order_type_enc,18.4876
period_x_delivery,13.294764
queue_ahead,7.745972
is_online,7.330362
queue_cups_ahead,6.775838
cups,3.3177705
concurrent_hourly,2.4013052
order_entry_seconds,2.269299
cups_x_delivery,1.5709462
concurrent_periodly,1.2567996
store_hour_enc,1.1852013
store_enc,1.0839148
queue_load_ratio,1.0491135
is_dinner_peak,0.57372063
period,0.5645133
is_lunch_peak,0.52817
hour,0.5233106
hour_sin,0.52145195
hour_cos,0.46874928
load_index,0.37016332
day_of_week,0.3594729
is_weekend,0.32928613
minute,0.23957723
